actor;platform;year
brendan gleeson;as1;2014
 taylor kitsch;as1;2014
 gordon pinsent;as1;2014
mahesh manjrekar;as2;2018
 abhay mahajan;as2;2018
 sachin khedekar;as2;2018
tom sizemore;as3;2017
 lorenzo lamas;as3;2017
 robert lasardo;as3;2017
 richard jones;as3;2017
 yancey arias;as3;2017
 noel gugliemi;as3;2017
interviews with: pink;as4;2014
 adele;as4;2014
 beyoncé;as4;2014
 britney spears;as4;2014
 christina aguilera;as4;2014
 more!;as4;2014
harry dean stanton;as5;1989
 kieran o'brien;as5;1989
 george costigan;as5;1989
 amanda dickinson;as5;1989
 alison steadman;as5;1989
 grant bardsley;as5;1989
 bill moody;as5;1989
 matthew scurfield;as5;1989
gregory chisholm;as6;1989
 juliet stevenson;as6;1989
 brian henson;as6;1989
 michael maloney;as6;1989
alice cooper;as7;2017
 liberty devitto;as7;2017
 ray parker jr.;as7;2017
 david foster;as7;2017
 jason hook;as7;2017
 steve vai;as7;2017
 phil x;as7;2017
 rudy sarzo;as7;2017
 jay graydon;as7;2017
 rob zombie;as7;2017
 kenny aronoff;as7;2017
 steve lukather;as7;2017
 justin derrico;as7;2017
 eva gardner;as7;2017
 john 5;as7;2017
 eric singer;as7;2017
 derek st. holmes;as7;2017
 paul bushnell;as7;2017
 jason newsted;as7;2017
 glen sobel;as7;2017
 nita strauss;as7;2017
 chris johnson;as7;2017
julianne hough;as8;2016
 aaron tveit;as8;2016
 vanessa hudgens;as8;2016
 keke palmer;as8;2016
 carly rae jepson;as8;2016
 mario lopez;as8;2016
 carlos penavega;as8;2016
 kether donohue;as8;2016
 jordan fisher;as8;2016
 david del rio;as8;2016
 andrew call;as8;2016
 wendell pierce;as8;2016
 boyz ii men;as8;2016
 jessie j;as8;2016
 ana gasteyer;as8;2016
 didi conn;as8;2016
michael paré;as9;2017
 leanne khol young;as9;2017
 patrick j. maceachern;as9;2017
kirstie alley;as10;1994
 sam waterston;as10;1994
 stockard channing;as10;1994
emily wilder;as11;2016
 adrian cowan;as11;2016
 gary mckenzie;as11;2016
 jeremy ninaber;as11;2016
 brenda somers;as11;2016
 brian carleton;as11;2016
 lora burke;as11;2016
 winny clarke;as11;2016
 mercedes morris;as11;2016
 rebecca perry;as11;2016
 emily agard;as11;2016
 graham gauthier;as11;2016
leslie bibb;as12;2014
 kevin curtis;as12;2014
 nadia dajani;as12;2014
anders danielsen lie;as13;2018
 golshifteh farahani;as13;2018
 denis lavant;as13;2018
 sigrid bouaziz;as13;2018
 david kammenos;as13;2018
rafinha alcantara;as14;2020
 marc-andré ter stegen;as14;2020
 sergi roberto;as14;2020
 dr. ramón cugat;as14;2020
 mazinho;as14;2020
 xavi arruebo;as14;2020
 celia ferreira da silva;as14;2020
 ángel lapuebla;as14;2020
 javier enríquez;as14;2020
 thiago alcantara;as14;2020
 valeria alcantara;as14;2020
elon musk;as15;2018
 per wimmer;as15;2018
 julie anderson-ankenbrandt;as15;2018
 cary cooper;as15;2018
joey king;as16;2019
 jack kilmer;as16;2019
 andrea savage;as16;2019
 paul scheer;as16;2019
 june squibb;as16;2019
 erin darke;as16;2019
 stephen ruffin;as16;2019
 kelly lamor wilson;as16;2019
 logan medina;as16;2019
 travis james;as16;2019
 bill eudaly;as16;2019
